Film & Video,90000,24047,0,264
Music,2000,2399,1,86
Music,1000,1570,1,30
Technology,30000,7825,0,57
Film & Video,5000,18360,1,57
Music,3000,3165,1,91
Film & Video,2000,2046,1,26
Theater,3800,4600.04,1,62
Art,50000,8593,0,158
Music,7500,10391,1,184
Games,12000,6599,0,172
Photography,50000,29868,0,65
Music,1500,1938,1,50
Design,45000,6264.14,0,113
Design,1200,49295,1,1205
Design,7000,7055,1,91
Music,2000,1220,0,27
Art,3000,3050.01,1,26
Music,6500,441,0,13
Publishing,5000,873,0,17
Film & Video,3000,3340,1,54
Design,20000,23893,1,243
Design,3975,9601,1,160
Games,9000,17736.2,1,472
Technology,2000,6184.32,1,152
Comics,15000,2513,0,80
Games,5000,63503.43,1,630
Art,3000,4689,1,73
Film & Video,10000,2590,0,29
Music,1500,1541,1,19
Design,20000,29154.13,1,439
Theater,2500,3394,1,59
Games,12000,22379,1,581
Photography,15000,716,0,11
Design,15000,1247,0,38
Design,18000,4088,0,90
Publishing,200,208.88,1,13
Games,1500,1730,1,58
Music,2000,2860,1,54
Food,26000,561,0,13
Fashion,1500,585,0,12
Food,80000,226425,1,2811
Design,5000,20310.5,1,513
Journalism,5000,5904,1,49
Photography,10000,1200,0,21
Technology,50000,18114,0,314
Food,10000,16765,1,237
Comics,15000,16021,1,138
Comics,1300,935,0,20
Technology,25000,30212,1,101
Food,12000,4396,0,36
Technology,25000,28633.5,1,238
Publishing,25000,5633,0,30
Fashion,15000,50762,1,423
Publishing,3000,24982,1,543
Film & Video,4000,4081,1,41
Music,3500,3870,1,52
Music,5000,7550.51,1,145
Games,250,1218,1,34
Music,500,606,1,27
Music,2950,3271,1,97
Publishing,20000,20420,1,206
Food,20000,917,0,12
Theater,1000,1130,1,17
Music,1100,1440,1,42
Fashion,4000,820,0,12
Design,25000,2455,0,24
Fashion,1000,5115,1,137
Art,4000,4403.48,1,102
Music,15000,16182,1,106
Music,8000,12101,1,57
Games,10000,23580.73,1,324
Games,10000,17847,1,578
Technology,25000,1514,0,17
Fashion,1000,2409,1,107
Music,3500,899,0,31
Design,5000,44312.25,1,1740
Games,12000,123168,1,1946
Fashion,300000,12160,0,58
Theater,1700,1700,1,18
Games,2000,5414,1,102
Fashion,15000,25954,1,199
Film & Video,2000,2061,1,36
Photography,15000,30006,1,488
Film & Video,700,1065,1,29
Music,3500,4746,1,79
Film & Video,8000,1701.33,0,29
Games,3000,3601,1,98
Technology,20000,1588,0,48
Design,12500,14505,1,70
Film & Video,5000,5020,1,62
Games,1000,24548,1,196
Games,2500,2806.5,1,225
Games,800,614,0,27
Publishing,10000,6791,0,88
Music,5000,5501,1,78
Design,30000,4942,0,167
Art,100,705,1,38
Games,90000,1314,0,28
Games,5500,5654,1,45
